,0
boob,7925
assfuck,572
cock suck,612
bitch,173843
bitch ass,15190
cumslut,390
cunt,9519
cunt rag,7
dumb fuck,3263
fucker,8249
hoe,34271
mothafucka,345
pussy,34519
skank fuck,11
slut,8728
whore,11639
