,0
boob,66049
assfuck,2552
cock suck,4653
bitch,804568
bitch ass,60387
cumslut,3419
cunt,76943
cunt rag,39
dumb fuck,16138
fucker,45852
hoe,133952
mothafucka,1208
pussy,170992
skank fuck,44
slut,54184
whore,75585
