,0
boob,1223
assfuck,109
cock suck,75
bitch,34570
bitch ass,3197
cumslut,66
cunt,1511
dumb fuck,559
fucker,1121
hoe,7204
mothafucka,68
pussy,5901
slut,1480
whore,2033
skank fuck,4
